id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,date,pb_over_history,pe_over_history,peg
444800,SZ399986,中证银行,3,4.5323,0.5396,0.008,0.0,0.1191,0.0589,1664208000000,low,0,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1373817600000,1664274719303,1664274719303,True,09-27,1.0,0.992,
444828,SPACEVCP,标普价值,2,4.8774,0.4932,0.0004,0.0004,0.1011,0.0624,1664208000000,low,0,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1354204800000,1664274719303,1664274719303,False,09-27,0.9996,0.9996,1.1317
444822,CSIH30269,红利低波,2,4.9354,0.5961,0.0037,0.0,0.1208,0.0628,1664208000000,low,0,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1387382400000,1664274719303,1664274719303,False,09-27,1.0,0.9963,
444850,SH000015,上证红利,2,4.9618,0.6048,0.006,0.0028,0.1219,0.0704,1664208000000,low,0,,0.05,1340035200000,1664274719303,1664274719303,False,09-27,0.9972,0.994,
444823,CSPSADRP,标普红利,2,5.246,0.6372,0.0196,0.004,0.1215,0.0692,1664208000000,low,0,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1340121600000,1664274719303,1664274719303,False,09-27,0.996,0.9804,
444840,CSI931157,红利成长LV,2,5.2838,0.6437,0.0096,0.0164,0.1218,0.0535,1664208000000,low,0,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1340121600000,1664274719303,1664274719303,False,09-27,0.9836,0.9904,
444799,SH000922,中证红利,2,5.5362,0.6509,0.0044,0.0004,0.1176,0.064,1664208000000,low,0,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1340208000000,1664274719303,1664274719303,False,09-27,0.9996,0.9956,
444846,CSI930740,300红利LV,2,5.8555,0.6818,0.002,0.0004,0.1164,0.054,1664208000000,low,0,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1339430400000,1664274719303,1664274719303,False,09-27,0.9996,0.998,
444827,CSI930949,神奇公式,2,6.2952,2.0439,0.0004,0.4024,0.3247,0.041,1664208000000,low,0,https://danjuanfunds.com/funding/006255?channel=1800100001&source=guzhi__web_20171001,0.05,1340208000000,1664274719303,1664274719303,False,09-27,0.5976,0.9996,
444830,SH000919,300价值,2,6.4503,0.7682,0.0592,0.0008,0.1191,0.0529,1664208000000,low,0,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1340208000000,1664274719303,1664274719303,False,09-27,0.9992,0.9408,
444815,SH000925,基本面50,2,7.1224,0.849,0.1296,0.0012,0.1192,0.0482,1664208000000,low,0,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1340208000000,1664274719303,1664274719303,False,09-27,0.9988,0.8704,
444818,HSFML25,香港大盘,1,7.3964,0.847,0.03,0.0016,0.1145,0.0439,1664208000000,low,0,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1340208000000,1664274719303,1664274719303,False,09-27,0.9984,0.97,0.8418
444812,HKHSCEI,国企指数,1,7.7518,0.7709,0.2688,0.0136,0.0994,0.0375,1664208000000,low,0,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1340208000000,1664274719303,1664274719303,False,09-27,0.9864,0.7312,1.3464
444816,SZ399550,央视50,2,7.8965,1.0114,0.2252,0.0012,0.1281,0.0396,1664208000000,low,0,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1340121600000,1664274719303,1664274719303,False,09-27,0.9988,0.7748,
444795,SH000170,50AH优选,1,8.4774,1.096,0.0929,0.3941,0.1293,0.0294,1664208000000,low,0,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1664274719303,1664274719303,False,09-27,0.6059,0.9071,
444811,HKHSI,恒生指数,1,8.6127,0.858,0.042,0.0008,0.0996,0.041,1664208000000,low,0,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1340208000000,1664274719303,1664274719303,False,09-27,0.9992,0.958,1.1835
444833,SH000010,上证180,1,9.3016,1.1148,0.1916,0.0164,0.1199,0.0333,1664208000000,low,0,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1340208000000,1664274719303,1664274719303,False,09-27,0.9836,0.8084,
444824,SPHCMSHP,香港中小,1,11.3693,0.8231,0.2647,0.0013,0.0724,0.04,1664208000000,low,0,https://danjuanfunds.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1664274719303,1664274719303,False,09-27,0.9987,0.7353,
444841,GDAXI,德国DAX,1,11.928,1.343,0.0244,0.0221,0.1126,0.0381,1664208000000,low,0,https://danjuanfunds.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1388592000000,1664274719303,1664274719303,False,09-27,0.9779,0.9756,
444805,SZ399975,证券公司,3,15.7771,1.2499,0.1189,0.053,0.0792,0.0222,1664208000000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1373817600000,1664274719303,1664274719303,True,09-27,0.947,0.8811,
444821,CSI930782,500低波,2,17.0847,1.2386,0.2305,0.0241,0.0725,0.0245,1664208000000,low,0,https://danjuanfunds.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1454515200000,1664274719303,1664274719303,False,09-27,0.9759,0.7695,
444813,SP500,标普500,1,18.7061,3.5941,0.2452,0.7788,0.1921,0.0175,1664208000000,low,0,https://danjuanfunds.com/funding/096001?channel=1800100001&source=guzhi__web_20171001,0.05,1339430400000,1664274719303,1664274719303,False,09-27,0.2212,0.7548,1.23
444807,SZ399812,养老产业,3,19.4104,2.1185,0.1213,0.003,0.1091,0.0194,1664208000000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1401984000000,1664274719303,1664274719303,False,09-27,0.997,0.8787,
444803,SZ399998,中证煤炭,3,7.7656,1.6911,0.0164,0.9333,0.2178,0.058,1664208000000,mid,1,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1423756800000,1664274719303,1664274719303,True,09-27,0.0667,0.9836,
444792,SH000016,上证50,1,9.4218,1.2351,0.3276,0.4188,0.1311,0.0371,1664208000000,mid,1,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1340208000000,1664274719303,1664274719303,False,09-27,0.5812,0.6724,
444793,SH000300,沪深300,1,11.3826,1.3581,0.3028,0.1572,0.1193,0.0273,1664208000000,mid,1,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1340208000000,1664274719303,1664274719303,False,09-27,0.8428,0.6972,
444817,SH000903,中证100,1,12.3299,1.7154,0.758,0.9228,0.1391,0.028,1664208000000,mid,1,https://danjuanfunds.com/funding/240014?channel=1800100001&source=guzhi__web_20171001,0.05,1340208000000,1664274719303,1664274719303,False,09-27,0.0772,0.242,
