id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,date,pe_over_history,pb_over_history
447810,SZ399986,中证银行,3,4.5202,0.5327,0.0227,0.0157,0.1178,0.0572,1670342400000,low,0,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1373817600000,1670409760772,1670409760772,0.521,True,12-07,0.9773,0.9843
447832,CSIH30269,红利低波,2,4.9152,0.5808,0.0165,0.0119,0.1182,0.0622,1670342400000,low,0,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1387382400000,1670409760772,1670409760772,0.6231,False,12-07,0.9835,0.9881
447860,SH000015,上证红利,2,4.965,0.5881,0.0204,0.0096,0.1184,0.0696,1670342400000,low,0,,0.05,1345651200000,1670409760773,1670409760773,0.7021,False,12-07,0.9796,0.9904
447838,SPACEVCP,标普价值,2,5.2417,0.5301,0.0476,0.0419,0.1011,0.0581,1670342400000,low,0,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1354204800000,1670409760773,1670409760773,1.2162,False,12-07,0.9524,0.9581
447850,CSI931157,红利成长LV,2,5.3536,0.6481,0.0308,0.0364,0.1211,0.0513,1670342400000,low,0,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1345737600000,1670409760773,1670409760773,0.567,False,12-07,0.9692,0.9636
447833,CSPSADRP,标普红利,2,5.3871,0.6349,0.0724,0.0164,0.1179,0.0668,1670342400000,low,0,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1345737600000,1670409760772,1670409760772,0.7526,False,12-07,0.9276,0.9836
447809,SH000922,中证红利,2,5.604,0.6399,0.0312,0.0112,0.1142,0.0626,1670342400000,low,0,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,0.7171,False,12-07,0.9688,0.9888
447856,CSI930740,300红利LV,2,6.1503,0.7001,0.0872,0.028,0.1138,0.0512,1670342400000,low,0,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1345046400000,1670409760773,1670409760773,0.8149,False,12-07,0.9128,0.972
447837,CSI930949,神奇公式,2,6.5455,1.4511,0.022,0.0436,0.2217,0.0407,1670342400000,low,0,https://danjuanfunds.com/funding/006255?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760773,1670409760773,0.2389,False,12-07,0.978,0.9564
447840,SH000919,300价值,2,6.7198,0.7807,0.1276,0.0272,0.1162,0.0505,1670342400000,low,0,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760773,1670409760773,0.8113,False,12-07,0.8724,0.9728
447825,SH000925,基本面50,2,7.2695,0.8488,0.168,0.0184,0.1168,0.0471,1670342400000,low,0,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,0.8357,False,12-07,0.832,0.9816
447828,HSFML25,香港大盘,1,7.7867,0.895,0.1168,0.0548,0.1149,0.042,1670342400000,low,0,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,0.8862,False,12-07,0.8832,0.9452
447826,SZ399550,央视50,2,7.8689,0.9869,0.2316,0.0144,0.1254,0.0396,1670342400000,low,0,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1345737600000,1670409760772,1670409760772,0.8645,False,12-07,0.7684,0.9856
447805,SH000170,50AH优选,1,8.7408,1.108,0.2073,0.4351,0.1268,0.0295,1670342400000,low,0,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1670409760772,1670409760772,1.2938,False,12-07,0.7927,0.5649
447821,HKHSI,恒生指数,1,9.228,0.9304,0.2176,0.0728,0.1008,0.039,1670342400000,low,0,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,1.2681,False,12-07,0.7824,0.9272
447843,SH000010,上证180,1,9.5302,1.1144,0.228,0.0328,0.1169,0.0324,1670342400000,low,0,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760773,1670409760773,0.9018,False,12-07,0.772,0.9672
447849,CSI931142,东证竞争,2,10.6888,1.7135,0.1684,0.0564,0.1603,0.0242,1670342400000,low,0,https://danjuanfunds.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760773,1670409760773,0.8148,False,12-07,0.8316,0.9436
447851,GDAXI,德国DAX,1,13.1723,1.5545,0.0956,0.2221,0.118,0.0324,1670342400000,low,0,https://danjuanfunds.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1388592000000,1670409760773,1670409760773,,False,12-07,0.9044,0.7779
447815,SZ399975,证券公司,3,19.5005,1.3294,0.2676,0.1017,0.0682,0.0204,1670342400000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1373817600000,1670409760772,1670409760772,9.0386,True,12-07,0.7324,0.8983
447813,SZ399998,中证煤炭,3,6.7492,1.4595,0.0059,0.7461,0.2162,0.0629,1670342400000,mid,1,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1423756800000,1670409760772,1670409760772,,True,12-07,0.9941,0.2539
447822,HKHSCEI,国企指数,1,8.0756,0.8208,0.3684,0.072,0.1016,0.0359,1670342400000,mid,1,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,1.4026,False,12-07,0.6316,0.928
447802,SH000016,上证50,1,9.5678,1.2246,0.378,0.3936,0.128,0.0365,1670342400000,mid,1,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,1.0689,False,12-07,0.622,0.6064
447803,SH000300,沪深300,1,11.5475,1.3507,0.3188,0.1632,0.117,0.0266,1670342400000,mid,1,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,0.8367,False,12-07,0.6812,0.8368
447858,CSI716567,MSCI中国,1,12.2465,1.4422,0.3667,0.3483,0.1178,0.0246,1670342400000,mid,1,,0.05,1508688000000,1670409760773,1670409760773,0.7579,False,12-07,0.6333,0.6517
447827,SH000903,中证100,1,12.4661,1.6803,0.7828,0.9036,0.1348,0.0275,1670342400000,mid,1,https://danjuanfunds.com/funding/240014?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,1.0016,False,12-07,0.2172,0.0964
447834,SPHCMSHP,香港中小,1,13.9823,0.9344,0.5484,0.0935,0.0668,0.0357,1670342400000,mid,1,https://danjuanfunds.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1670409760772,1670409760772,,False,12-07,0.4516,0.9065
447848,SPCQVCP,标普质量,2,16.0202,2.8442,0.5246,0.4356,0.1694,0.0213,1670342400000,mid,1,https://danjuanfunds.com/funding/501069?channel=1800100001&source=guzhi__web_20171001,0.05,1354204800000,1670409760773,1670409760773,1.8693,False,12-07,0.4754,0.5644
447836,SZ399317,国证A指,1,16.0328,1.5681,0.3696,0.1352,0.0978,0.0205,1670342400000,mid,1,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,0.8246,False,12-07,0.6304,0.8648
447830,SZ399324,深证红利,2,18.4846,1.9475,0.888,0.2888,0.1054,0.0308,1670342400000,mid,1,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,1.4117,False,12-07,0.112,0.7112
447831,CSI930782,500低波,2,19.8172,1.3036,0.5036,0.0865,0.0658,0.0227,1670342400000,mid,1,https://danjuanfunds.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1454515200000,1670409760772,1670409760772,1.6763,False,12-07,0.4964,0.9135
447823,SP500,标普500,1,20.7483,3.865,0.4032,0.8268,0.1863,0.0164,1670342400000,mid,1,https://danjuanfunds.com/funding/096001?channel=1800100001&source=guzhi__web_20171001,0.05,1345046400000,1670409760772,1670409760772,1.3643,False,12-07,0.5968,0.1732
447817,SZ399812,养老产业,3,22.6224,2.3655,0.5014,0.0579,0.1046,0.0179,1670342400000,mid,1,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1401984000000,1670409760772,1670409760772,1.8587,False,12-07,0.4986,0.9421
447806,SZ399330,深证100,1,23.143,3.0854,0.598,0.6684,0.1333,0.0141,1670342400000,mid,1,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,0.7829,False,12-07,0.402,0.3316
447804,SH000905,中证500,1,23.7388,1.6861,0.234,0.068,0.071,0.0186,1670342400000,mid,1,https://danjuanfunds.com/funding/000478?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,0.769,False,12-07,0.766,0.932
447811,SH000827,中证环保,3,25.1915,3.4286,0.186,0.7483,0.1361,0.0095,1670342400000,mid,1,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1348502400000,1670409760772,1670409760772,0.5377,False,12-07,0.814,0.2517
447857,SZ399989,中证医疗,3,25.2506,5.5059,0.0152,0.2182,0.2181,0.0086,1670342400000,mid,1,,0.05,1414684800000,1670409760773,1670409760773,0.8683,False,12-07,0.9848,0.7818
447824,NDX,纳指100,1,25.4211,6.5035,0.5196,0.7508,0.2558,0.0083,1670342400000,mid,1,https://danjuanfunds.com/funding/160213?channel=1800100001&source=guzhi__web_20171001,0.05,1345737600000,1670409760772,1670409760772,1.2617,False,12-07,0.4804,0.2492
447844,SZ399001,深证成指,1,26.5568,2.5939,0.5248,0.3872,0.0977,0.0139,1670342400000,mid,1,https://danjuanfunds.com/funding/163109?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760773,1670409760773,0.841,False,12-07,0.4752,0.6128
447853,SZ399610,TMT50,3,27.3796,3.1971,0.116,0.0908,0.1168,0.0128,1670342400000,mid,1,https://danjuanfunds.com/funding/160224?channel=1800100001&source=guzhi__web_20171001,0.05,1417363200000,1670409760773,1670409760773,2.5164,False,12-07,0.884,0.9092
447819,SH000991,全指医药,3,29.4401,3.6175,0.1084,0.1324,0.1229,0.0103,1670342400000,mid,1,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,1.367,False,12-07,0.8916,0.8676
447859,CSI930652,中证电子,3,29.5754,3.0591,0.1783,0.1368,0.1034,0.0119,1670342400000,mid,1,,0.05,1433433600000,1670409760773,1670409760773,2.6499,False,12-07,0.8217,0.8632
447864,CSIH30094,消费红利,2,30.2592,4.2967,0.6546,0.4058,0.142,0.0236,1670342400000,mid,1,,0.05,1372694400000,1670409760773,1670409760773,0.346,False,12-07,0.3454,0.5942
447807,SH000852,中证1000,1,30.7035,2.4226,0.1642,0.269,0.0789,0.011,1670342400000,mid,1,https://danjuanfunds.com/funding/003646?channel=1800100001&source=guzhi__web_20171001,0.05,1413475200000,1670409760772,1670409760772,0.6124,False,12-07,0.8358,0.731
447854,SZ399971,中证传媒,3,30.8721,1.8569,0.2456,0.0422,0.0601,0.021,1670342400000,mid,1,https://danjuanfunds.com/funding/004752?channel=1800100001&source=guzhi__web_20171001,0.05,1397491200000,1670409760773,1670409760773,2.2085,False,12-07,0.7544,0.9578
447845,SH000978,医药100,3,30.886,4.1413,0.1512,0.2604,0.1341,0.0094,1670342400000,mid,1,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760773,1670409760773,1.5064,False,12-07,0.8488,0.7396
447812,SZ399997,中证白酒,3,32.9386,8.396,0.6274,0.6571,0.2549,0.0135,1670342400000,mid,1,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1421769600000,1670409760772,1670409760772,1.5529,False,12-07,0.3726,0.3429
447808,SZ399006,创业板,1,40.1235,5.0294,0.1668,0.3848,0.1253,0.0055,1670342400000,mid,1,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,0.7177,False,12-07,0.8332,0.6152
447820,SH000993,全指信息,3,41.1755,3.1496,0.2104,0.134,0.0765,0.0093,1670342400000,mid,1,https://danjuanfunds.com/funding/002974?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,2.1611,False,12-07,0.7896,0.866
447829,CSIH11136,中国互联,3,42.0272,2.6363,0.3724,0.0504,0.0627,0.0048,1670342400000,mid,1,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760772,1670409760772,,False,12-07,0.6276,0.9496
447847,CSIH30533,中概互联50,3,42.8079,2.5977,0.3413,0.0651,0.0607,0.0047,1670342400000,mid,1,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1419782400000,1670409760773,1670409760773,,False,12-07,0.6587,0.9349
447814,SZ399967,中证军工,3,54.3793,3.1918,0.1,0.3798,0.0587,0.0051,1670342400000,mid,1,https://danjuanfunds.com/funding/163115?channel=1800100001&source=guzhi__web_20171001,0.05,1387987200000,1670409760772,1670409760772,1.3319,True,12-07,0.9,0.6202
447855,SZ399393,国证地产,3,58.2089,0.9703,0.9972,0.0592,0.0167,0.0274,1670342400000,mid,1,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760773,1670409760773,3.569,True,12-07,0.0028,0.9408
447842,SZ399702,基本面120,2,22.037,2.1744,0.8112,0.4396,0.0987,0.0202,1670342400000,high,2,https://danjuanfunds.com/funding/070023?channel=1800100001&source=guzhi__web_20171001,0.05,1345996800000,1670409760773,1670409760773,1.1123,False,12-07,0.1888,0.5604
