id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,pb_over_history,pe_over_history,date
476549,SZ399393,国证地产,3,0.0,0.5901,0.0,0.0016,0.0,0.0243,1726070400000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1402502400000,1726137790056,1726137790056,0.5901,True,0.9984,1.0,09-12
476532,SPACEVCP,标普价值,2,5.0186,0.5075,0.0448,0.0444,0.1011,0.0607,1726070400000,low,0,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1402502400000,1726137790056,1726137790056,1.1644,False,0.9556,0.9552,09-12
476505,SZ399986,中证银行,3,5.2518,0.5571,0.2396,0.124,0.1061,0.0555,1726070400000,low,0,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1402502400000,1726137790056,1726137790056,3.1422,True,0.876,0.7604,09-12
476528,CSPSADRP,标普红利,2,6.0344,0.6677,0.262,0.1392,0.1106,0.059,1726070400000,low,0,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726137790056,1726137790056,5.2658,False,0.8608,0.738,09-12
476550,CSI930740,300红利LV,2,6.9017,0.7409,0.2084,0.108,0.1074,0.0481,1726070400000,low,0,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1401724800000,1726137790056,1726137790056,1.8931,False,0.892,0.7916,09-12
476523,HSFML25,香港大盘,1,6.9994,0.7165,0.042,0.008,0.1024,0.0435,1726070400000,low,0,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1402502400000,1726137790056,1726137790056,0.7966,False,0.992,0.958,09-12
476517,HKHSCEI,国企指数,1,7.5638,0.7556,0.206,0.0476,0.0999,0.0406,1726070400000,low,0,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1402502400000,1726137790056,1726137790056,1.3137,False,0.9524,0.794,09-12
476521,SZ399550,央视50,2,7.9533,0.8881,0.1388,0.0012,0.1117,0.0459,1726070400000,low,0,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1402416000000,1726137790056,1726137790056,1.9375,False,0.9988,0.8612,09-12
476520,SH000925,基本面50,2,7.9637,0.8464,0.2412,0.0512,0.1063,0.0469,1726070400000,low,0,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1402502400000,1726137790056,1726137790056,1.4785,False,0.9488,0.7588,09-12
476500,SH000170,50AH优选,1,7.9652,0.8445,0.0436,0.0014,0.106,0.0453,1726070400000,low,0,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1726137790056,1726137790056,1.766,False,0.9986,0.9564,09-12
