id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,pb_over_history,pe_over_history,date,peg
486337,SZ399393,国证地产,3,0.0,0.7899,0.0,0.1128,0.0,0.0206,1746720000000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158527,1746785158527,True,0.8872,1.0,05-09,
486313,SZ399324,深证红利,2,13.2804,1.9363,0.1092,0.2376,0.1458,0.0439,1746720000000,low,0,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158520,1746785158520,False,0.7624,0.8908,05-09,1.256
486300,SZ399812,养老产业,3,13.9192,1.9424,0.028,0.1056,0.1395,0.0246,1746720000000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158517,1746785158517,False,0.8944,0.972,05-09,1.9417
486312,CSIH11136,中国互联,3,17.4148,2.8441,0.0612,0.2696,0.1633,0.0091,1746720000000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158520,1746785158520,False,0.7304,0.9388,05-09,
486329,CSIH30533,中概互联50,3,18.6684,3.0159,0.0688,0.2972,0.1616,0.0082,1746720000000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158525,1746785158525,False,0.7028,0.9312,05-09,
486298,SZ399975,证券公司,3,18.7606,1.3359,0.2236,0.2256,0.0712,0.0161,1746720000000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158516,1746785158516,True,0.7744,0.7764,05-09,1.336
486295,SZ399997,中证白酒,3,20.0072,5.1465,0.1336,0.2356,0.2572,0.0399,1746720000000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158515,1746785158515,False,0.7644,0.8664,05-09,2.2433
486321,SH000932,主要消费,3,20.0814,4.301,0.0072,0.23,0.2142,0.0337,1746720000000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158523,1746785158523,False,0.77,0.9928,05-09,1.8558
486346,CSIH30094,消费红利,2,20.5747,4.4092,0.1048,0.2568,0.2143,0.0391,1746720000000,low,0,,0.05,1421942400000,1746785158546,1746785158546,False,0.7432,0.8952,05-09,1.9239
486289,SZ399330,深证100,1,20.8962,2.2718,0.2744,0.0784,0.1087,0.0259,1746720000000,low,0,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158514,1746785158514,False,0.9216,0.7256,05-09,0.6661
486299,SZ399396,国证食品,3,22.2788,4.4386,0.0992,0.1548,0.1992,0.0356,1746720000000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158517,1746785158517,False,0.8452,0.9008,05-09,2.0257
486343,CSI931079,5G通讯,3,25.6517,2.9896,0.1225,0.1882,0.1165,0.0139,1746720000000,low,0,,0.05,1556553600000,1746785158529,1746785158529,False,0.8118,0.8775,05-09,0.6751
486339,SZ399989,中证医疗,3,30.1678,3.1564,0.1812,0.0124,0.1046,0.018,1746720000000,low,0,,0.05,1422201600000,1746785158528,1746785158528,False,0.9876,0.8188,05-09,1.0082
486291,SZ399006,创业板,1,30.2526,3.7212,0.1428,0.1328,0.123,0.0134,1746720000000,low,0,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158514,1746785158514,False,0.8672,0.8572,05-09,0.7745
486335,SZ399610,TMT50,3,31.0397,3.2345,0.2568,0.2252,0.1042,0.0139,1746720000000,low,0,https://danjuanfunds.com/funding/160224?channel=1800100001&source=guzhi__web_20171001,0.05,1467820800000,1746785158526,1746785158526,False,0.7748,0.7432,05-09,0.7028
486292,SH000922,中证红利,2,7.5667,0.756,0.4616,0.2956,0.0999,0.0641,1746720000000,mid,1,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158515,1746785158515,False,0.7044,0.5384,05-09,3.2409
486308,SH000925,基本面50,2,9.1112,0.9409,0.5368,0.2656,0.1033,0.0504,1746720000000,mid,1,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158519,1746785158519,False,0.7344,0.4632,05-09,2.0307
486288,SH000170,50AH优选,1,9.2599,1.0122,0.4779,0.2401,0.1093,0.0414,1746720000000,mid,1,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1746785158513,1746785158513,False,0.7599,0.5221,05-09,2.8624
486285,SH000016,上证50,1,10.8417,1.1888,0.6976,0.2984,0.1097,0.0437,1746720000000,mid,1,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158512,1746785158512,False,0.7016,0.3024,05-09,2.5368
486325,SH000010,上证180,1,11.009,1.1475,0.5512,0.1908,0.1042,0.0391,1746720000000,mid,1,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158524,1746785158524,False,0.8092,0.4488,05-09,1.8472
486286,SH000300,沪深300,1,12.439,1.2988,0.4932,0.128,0.1044,0.0353,1746720000000,mid,1,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158513,1746785158513,False,0.872,0.5068,05-09,1.315
486340,CSI716567,MSCI中国,1,12.7299,1.3103,0.5668,0.168,0.1029,0.0342,1746720000000,mid,1,,0.05,1508688000000,1746785158528,1746785158528,False,0.832,0.4332,05-09,1.161
486319,SZ399317,国证A指,1,18.4249,1.5302,0.5968,0.1656,0.0831,0.0253,1746720000000,mid,1,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158522,1746785158522,False,0.8344,0.4032,05-09,1.14
486323,SZ399701,基本面60,2,19.591,1.8917,0.5344,0.108,0.0966,0.0309,1746720000000,mid,1,https://danjuanfunds.com/funding/530015?channel=1800100001&source=guzhi__web_20171001,0.05,1422201600000,1746785158523,1746785158523,False,0.892,0.4656,05-09,0.6183
