id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,pb_over_history,pe_over_history,date,peg
491413,SZ399393,国证地产,3,0.0,0.8447,0.0,0.168,0.0,0.0107,1753891200000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958181689,1753958181689,True,5,0.832,1.0,07-31,
491385,SZ399812,养老产业,3,15.1227,2.2124,0.07,0.24,0.1463,0.0219,1753891200000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958179578,1753958179578,False,5,0.76,0.93,07-31,2.1955
491392,CSIH11136,中国互联,3,17.1808,2.8535,0.0756,0.2892,0.1661,0.0103,1753891200000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958180097,1753958180097,False,5,0.7108,0.9244,07-31,
491380,SZ399997,中证白酒,3,18.0782,5.1409,0.0264,0.2288,0.2844,0.0395,1753891200000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958179184,1753958179184,False,5,0.7712,0.9736,07-31,2.227
491398,SH000932,主要消费,3,18.8189,4.3125,0.0068,0.232,0.2292,0.0338,1753891200000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958180516,1753958180516,False,5,0.768,0.9932,07-31,1.8218
491422,CSIH30094,消费红利,2,18.8639,4.4205,0.0252,0.2548,0.2343,0.0387,1753891200000,low,0,,0.05,1429718400000,1753958182302,1753958182302,False,5,0.7452,0.9748,07-31,1.8353
491384,SZ399396,国证食品,3,20.5,4.4715,0.0356,0.1636,0.2181,0.035,1753891200000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958179501,1753958179501,False,5,0.8364,0.9644,07-31,1.9563
491415,SZ399989,中证医疗,3,32.3547,3.8223,0.28,0.1304,0.1181,0.0153,1753891200000,low,0,,0.05,1429804800000,1753958181841,1753958181841,False,5,0.8696,0.72,07-31,1.2141
491376,SZ399006,创业板,1,33.7216,4.2712,0.2296,0.2736,0.1267,0.0122,1753891200000,low,0,https://danjuanfunds.com/funding/110026?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958178831,1753958178831,False,5,0.7264,0.7704,07-31,0.957
491393,SZ399324,深证红利,2,14.389,2.3884,0.2428,0.7288,0.166,0.0415,1753891200000,mid,1,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958180167,1753958180167,False,5,0.2712,0.7572,07-31,1.2001
491406,CSIH30533,中概互联50,3,18.2347,2.9883,0.0804,0.308,0.1639,0.0093,1753891200000,mid,1,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958181250,1753958181250,False,5,0.692,0.9196,07-31,
491400,SZ399701,基本面60,2,19.7647,1.9748,0.5572,0.1964,0.0999,0.0272,1753891200000,mid,1,https://danjuanfunds.com/funding/530015?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958180672,1753958180672,False,5,0.8036,0.4428,07-31,0.6534
491401,SZ399702,基本面120,2,19.9674,1.9801,0.4348,0.1984,0.0992,0.0256,1753891200000,mid,1,https://danjuanfunds.com/funding/070023?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958180743,1753958180743,False,5,0.8016,0.5652,07-31,0.6441
491386,SH000989,全指可选,3,20.1913,2.4216,0.1668,0.3388,0.1199,0.0269,1753891200000,mid,1,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958179645,1753958179645,False,5,0.6612,0.8332,07-31,0.7472
491423,HKHSTECH,恒生科技,3,21.458,3.081,0.1954,0.6585,0.1436,0.0106,1753891200000,mid,1,,0.05,1595779200000,1753958182373,1753958182373,False,5,0.3415,0.8046,07-31,
491374,SZ399330,深证100,1,21.8857,2.4997,0.406,0.2004,0.1142,0.022,1753891200000,mid,1,https://danjuanfunds.com/funding/217016?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958178679,1753958178679,False,5,0.7996,0.594,07-31,0.7534
491403,SZ399001,深证成指,1,26.763,2.3675,0.5156,0.2388,0.0885,0.018,1753891200000,mid,1,https://danjuanfunds.com/funding/163109?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958180927,1753958180927,False,5,0.7612,0.4844,07-31,0.7184
491379,SH000827,中证环保,3,31.2492,2.2366,0.634,0.2392,0.0716,0.019,1753891200000,mid,1,https://danjuanfunds.com/funding/001064?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958179100,1753958179100,False,5,0.7608,0.366,07-31,0.5586
491404,SH000978,医药100,3,35.3919,3.4853,0.5416,0.2164,0.0985,0.0156,1753891200000,mid,1,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958181011,1753958181011,False,5,0.7836,0.4584,07-31,1.3661
491387,SH000991,全指医药,3,35.9903,3.4767,0.4724,0.2608,0.0966,0.0156,1753891200000,mid,1,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958179717,1753958179717,False,5,0.7392,0.5276,07-31,1.3448
491378,SZ399986,中证银行,3,7.2085,0.7201,0.9044,0.4352,0.0999,0.0403,1753891200000,high,2,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958178996,1753958178996,True,5,0.5648,0.0956,07-31,3.1831
491363,SPACEVCP,标普价值,2,7.2371,0.7979,0.6808,0.654,0.1102,0.0427,1753891200000,high,2,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1430064000000,1753958177820,1753958177820,False,5,0.346,0.3192,07-31,1.6791
491410,CSPSADRP,标普红利,2,7.7985,0.8139,0.7876,0.5088,0.1044,0.045,1753891200000,high,2,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1429718400000,1753958181479,1753958181479,False,5,0.4912,0.2124,07-31,3.7815
491418,SH000015,上证红利,2,7.8233,0.7791,0.738,0.506,0.0996,0.0441,1753891200000,high,2,,0.05,1429632000000,1753958182056,1753958182056,False,5,0.494,0.262,07-31,7.0349
491377,SH000922,中证红利,2,8.1425,0.8099,0.6588,0.39,0.0995,0.0447,1753891200000,high,2,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958178897,1753958178897,False,5,0.61,0.3412,07-31,3.5795
491395,CSIH30269,红利低波,2,8.2255,0.8467,0.7488,0.5244,0.1029,0.0424,1753891200000,high,2,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958180318,1753958180318,False,5,0.4756,0.2512,07-31,3.077
491408,CSI931157,红利成长LV,2,8.5871,0.8823,0.7668,0.6058,0.1027,0.0464,1753891200000,high,2,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1556121600000,1753958181387,1753958181387,False,5,0.3942,0.2332,07-31,1.7795
491399,SH000919,300价值,2,9.0792,0.9489,0.7208,0.4716,0.1045,0.0392,1753891200000,high,2,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958180601,1753958180601,False,5,0.5284,0.2792,07-31,2.7604
491414,CSI930740,300红利LV,2,9.1743,0.9394,0.8436,0.5236,0.1024,0.0404,1753891200000,high,2,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1429027200000,1753958181761,1753958181761,False,5,0.4764,0.1564,07-31,2.9177
491389,SH000925,基本面50,2,9.8797,1.0384,0.7568,0.4132,0.1051,0.0386,1753891200000,high,2,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958179887,1753958179887,False,5,0.5868,0.2432,07-31,2.0338
491369,HSFML25,香港大盘,1,9.9027,1.0241,0.7328,0.5236,0.1034,0.0296,1753891200000,high,2,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958178311,1753958178311,False,5,0.4764,0.2672,07-31,1.127
491390,SZ399550,央视50,2,10.1793,1.0673,0.8204,0.2948,0.1049,0.038,1753891200000,high,2,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1429718400000,1753958179957,1753958179957,False,5,0.7052,0.1796,07-31,1.7322
491368,HKHSCEI,国企指数,1,10.2354,1.0674,0.8792,0.7816,0.1043,0.0287,1753891200000,high,2,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1429804800000,1753958178238,1753958178238,False,5,0.2184,0.1208,07-31,1.7779
491373,SH000170,50AH优选,1,10.3507,1.1228,0.7484,0.5757,0.1085,0.0358,1753891200000,high,2,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1449676800000,1753958178609,1753958178609,False,5,0.4243,0.2516,07-31,1.7041
