id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,date,pe_over_history,pb_over_history,peg
498160,SZ399393,国证地产,3,0.0,0.8304,0.0,0.1592,0.0,0.0113,1765814400000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881123579,1765881123579,True,5,12-16,1.0,0.8408,
498134,SZ399812,养老产业,3,12.6578,2.0835,0.0124,0.1828,0.1646,0.0211,1765814400000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881121564,1765881121564,False,5,12-16,0.9876,0.8172,0.8041
498168,CSIH30094,消费红利,2,18.8903,4.0896,0.028,0.1504,0.2165,0.0396,1765814400000,low,0,,0.05,1441123200000,1765881124124,1765881124124,False,5,12-16,0.972,0.8496,7.1865
498129,SZ399997,中证白酒,3,18.958,4.6967,0.0796,0.1304,0.2477,0.0397,1765814400000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881121119,1765881121119,False,5,12-16,0.9204,0.8696,26.0011
498153,CSIH30533,中概互联50,3,19.2952,2.8931,0.1248,0.284,0.1499,0.0091,1765814400000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881123075,1765881123075,False,5,12-16,0.8752,0.716,
498145,SH000932,主要消费,3,19.3889,3.9587,0.0296,0.1428,0.2042,0.0362,1765814400000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881122453,1765881122453,False,5,12-16,0.9704,0.8572,3.3867
498112,CSIH11136,中国互联,3,19.4148,2.8915,0.1452,0.298,0.1489,0.0096,1765728000000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1441123200000,1765848721306,1765848721306,False,5,12-15,0.8548,0.702,
498133,SZ399396,国证食品,3,20.9148,4.1107,0.0644,0.0656,0.1965,0.0358,1765814400000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881121436,1765881121436,False,5,12-16,0.9356,0.9344,5.1365
498162,SZ399989,中证医疗,3,32.1183,3.4034,0.2808,0.0648,0.106,0.0145,1765814400000,low,0,,0.05,1441555200000,1765881123727,1765881123727,False,5,12-16,0.7192,0.9352,1.3367
498132,SZ399975,证券公司,3,17.092,1.4712,0.1548,0.3716,0.0861,0.0148,1765814400000,mid,1,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1441555200000,1765881121348,1765881121348,True,5,12-16,0.8452,0.6284,0.6777
