id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,pb_flag,source,date,pb_over_history,pe_over_history,peg
505081,SZ399393,国证地产,3,0.0,0.7699,0.0,0.1,0.0,0.0122,1774886400000,low,0,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953123510,1774953123510,True,5,03-31,0.9,1.0,
505055,SZ399812,养老产业,3,11.8808,1.8371,0.002,0.0548,0.1546,0.0243,1774886400000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953121486,1774953121486,False,5,03-31,0.9452,0.998,0.8397
505053,SZ399975,证券公司,3,14.6094,1.2533,0.0544,0.1204,0.0858,0.018,1774886400000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953121322,1774953121322,True,5,03-31,0.8796,0.9456,0.5096
505074,CSIH30533,中概互联50,3,16.9574,2.303,0.0324,0.0532,0.1358,0.0109,1774886400000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953122969,1774953122969,False,5,03-31,0.9468,0.9676,
505033,CSIH11136,中国互联,3,16.986,2.2852,0.0688,0.0448,0.1345,0.0116,1774800000000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1450108800000,1774920720943,1774920720943,False,5,03-30,0.9552,0.9312,
505050,SZ399997,中证白酒,3,17.9938,4.7806,0.0216,0.1252,0.2657,0.0394,1774886400000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953121091,1774953121091,False,5,03-31,0.8748,0.9784,
505089,CSIH30094,消费红利,2,18.1412,4.1143,0.0168,0.1384,0.2268,0.0403,1774886400000,low,0,,0.05,1450108800000,1774953124077,1774953124077,False,5,03-31,0.8616,0.9832,18.1147
505066,SH000932,主要消费,3,19.4799,3.8737,0.0548,0.1024,0.1989,0.0362,1774886400000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953122380,1774953122380,False,5,03-31,0.8976,0.9452,7.075
505054,SZ399396,国证食品,3,20.1637,4.0865,0.0304,0.0512,0.2027,0.0369,1774886400000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953121394,1774953121394,False,5,03-31,0.9488,0.9696,8.2604
505090,HKHSTECH,恒生科技,3,21.4922,2.5136,0.1917,0.2999,0.117,0.012,1774886400000,low,0,,0.05,1595779200000,1774953124165,1774953124165,False,5,03-31,0.7001,0.8083,
505083,SZ399989,中证医疗,3,28.7848,3.2289,0.118,0.0296,0.1122,0.0155,1774886400000,low,0,,0.05,1450195200000,1774953123681,1774953123681,False,5,03-31,0.9704,0.882,1.4828
505057,SH000991,全指医药,3,30.4521,3.0201,0.2588,0.0648,0.0992,0.0165,1774886400000,low,0,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953121641,1774953121641,False,5,03-31,0.9352,0.7412,1.8095
505072,SH000978,医药100,3,30.6494,3.0752,0.2992,0.0676,0.1003,0.0162,1774886400000,low,0,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953122821,1774953122821,False,5,03-31,0.9324,0.7008,1.8756
505092,GDAXI,德国DAX,1,16.2522,1.4948,0.4224,0.0992,0.092,0.0012,1774886400000,mid,1,https://danjuanfunds.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1450108800000,1774953124304,1774953124304,False,5,03-31,0.9008,0.5776,
505056,SH000989,全指可选,3,22.663,2.3012,0.322,0.2784,0.1015,0.0265,1774886400000,mid,1,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953121568,1774953121568,False,5,03-31,0.7216,0.678,1.4297
505048,SZ399986,中证银行,3,6.9744,0.6732,0.8428,0.3808,0.0965,0.045,1774886400000,high,2,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953120935,1774953120935,True,5,03-31,0.6192,0.1572,4.3524
505038,SPACEVCP,标普价值,2,7.3316,0.8078,0.7092,0.6856,0.1102,0.0425,1774886400000,high,2,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1450281600000,1774953120117,1774953120117,False,5,03-31,0.3144,0.2908,1.7011
505076,CSI931157,红利成长LV,2,7.9806,0.8753,0.6401,0.5961,0.1097,0.0494,1774886400000,high,2,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1556121600000,1774953123125,1774953123125,False,5,03-31,0.4039,0.3599,0.97
505064,CSIH30269,红利低波,2,8.5148,0.8755,0.7976,0.586,0.1028,0.0444,1774886400000,high,2,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953122208,1774953122208,False,5,03-31,0.414,0.2024,3.4646
505047,SH000922,中证红利,2,8.7476,0.8654,0.8356,0.4968,0.0989,0.0463,1774886400000,high,2,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953120850,1774953120850,False,5,03-31,0.5032,0.1644,5.7382
505086,SH000015,上证红利,2,8.971,0.8693,0.98,0.5928,0.0969,0.0442,1774886400000,high,2,,0.05,1450022400000,1774953123893,1774953123893,False,5,03-31,0.4072,0.02,11.2919
505067,SH000919,300价值,2,9.2111,0.9283,0.7928,0.448,0.1008,0.0411,1774886400000,high,2,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953122452,1774953122452,False,5,03-31,0.552,0.2072,2.2027
505082,CSI930740,300红利LV,2,9.2966,0.9487,0.882,0.5936,0.102,0.044,1774886400000,high,2,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1449417600000,1774953123591,1774953123591,False,5,03-31,0.4064,0.118,4.6075
505078,CSPSADRP,标普红利,2,9.5464,1.0169,0.9872,0.6848,0.1065,0.0484,1774886400000,high,2,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1450108800000,1774953123277,1774953123277,False,5,03-31,0.3152,0.0128,4.2162
505043,SH000170,50AH优选,1,9.7953,1.1416,0.5768,0.592,0.1165,0.0337,1774886400000,high,2,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953120565,1774953120565,False,5,03-31,0.408,0.4232,1.7842
505032,HSFML25,香港大盘,1,9.9155,1.0128,0.6928,0.488,0.1021,0.0305,1774800000000,high,2,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1450108800000,1774920720559,1774920720559,False,5,03-30,0.512,0.3072,1.1284
505060,SZ399550,央视50,2,9.9731,1.0202,0.7588,0.2096,0.1023,0.0424,1774886400000,high,2,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1450108800000,1774953121868,1774953121868,False,5,03-31,0.7904,0.2412,2.2541
505059,SH000925,基本面50,2,10.0188,1.0105,0.786,0.386,0.1009,0.0391,1774886400000,high,2,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953121796,1774953121796,False,5,03-31,0.614,0.214,2.104
505031,HKHSCEI,国企指数,1,10.2363,1.0094,0.82,0.648,0.0986,0.0298,1774800000000,high,2,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1450108800000,1774920720449,1774920720449,False,5,03-30,0.352,0.18,1.7781
505040,SH000016,上证50,1,11.2817,1.2105,0.7552,0.3972,0.1073,0.0344,1774886400000,high,2,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953120336,1774953120336,False,5,03-31,0.6028,0.2448,1.8001
505070,SH000010,上证180,1,11.9677,1.2143,0.7736,0.3792,0.1015,0.031,1774886400000,high,2,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953122679,1774953122679,False,5,03-31,0.6208,0.2264,1.6705
505030,HKHSI,恒生指数,1,12.1315,1.2196,0.7948,0.8016,0.1005,0.0326,1774800000000,high,2,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1450108800000,1774920720349,1774920720349,False,5,03-30,0.1984,0.2052,1.6671
505041,SH000300,沪深300,1,13.8916,1.4236,0.7716,0.4232,0.1025,0.0273,1774886400000,high,2,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953120421,1774953120421,False,5,03-31,0.5768,0.2284,1.425
505084,CSI716567,MSCI中国,1,14.3635,1.4549,0.7546,0.5161,0.1013,0.0259,1774886400000,high,2,,0.05,1508688000000,1774953123765,1774953123765,False,5,03-31,0.4839,0.2454,1.2553
505062,SZ399324,深证红利,2,15.249,2.3794,0.3828,0.6916,0.156,0.0426,1774886400000,high,2,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953122012,1774953122012,False,5,03-31,0.3084,0.6172,1.7676
505039,SPCQVCP,标普质量,2,15.6419,2.777,0.4164,0.3848,0.1775,0.0208,1774886400000,high,2,https://danjuanfunds.com/funding/501069?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953120219,1774953120219,False,5,03-31,0.6152,0.5836,1.8252
505061,SH000903,中证100,1,17.0583,1.7907,0.9744,0.9436,0.105,0.0271,1774886400000,high,2,https://danjuanfunds.com/funding/240014?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953121938,1774953121938,False,5,03-31,0.0564,0.0256,1.5042
505075,CSI931142,东证竞争,2,17.1045,2.9592,0.91,0.9148,0.173,0.0246,1774886400000,high,2,https://danjuanfunds.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1774953123050,1774953123050,False,5,03-31,0.0852,0.09,0.8874
505034,SPHCMSHP,香港中小,1,19.1803,1.3722,0.9691,0.612,0.0715,0.0251,1774800000000,high,2,https://danjuanfunds.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1774920721069,1774920721069,False,5,03-30,0.388,0.0309,
505051,SZ399998,中证煤炭,3,20.9202,1.8126,0.8624,0.9864,0.0866,0.048,1774886400000,high,2,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1446998400000,1774953121183,1774953121183,True,5,03-31,0.0136,0.1376,
