id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,source,date,pb_over_history,pe_over_history
507758,SZ399812,养老产业,3,12.117,1.7968,0.0128,0.0392,0.1483,0.0245,1778169600000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236321648,1778236321648,1.1643,False,5,05-08,0.9608,0.9872
507756,SZ399975,证券公司,3,14.8827,1.2733,0.0576,0.148,0.0856,0.0175,1778169600000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236321497,1778236321497,1.0805,True,5,05-08,0.852,0.9424
507777,CSIH30533,中概互联50,3,17.5653,2.388,0.0744,0.0932,0.1359,0.0102,1778169600000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236323423,1778236323423,,False,5,05-08,0.9068,0.9256
507732,CSIH11136,中国互联,3,17.6626,2.3788,0.1064,0.0856,0.1347,0.0108,1778083200000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1453132800000,1778203921610,1778203921610,,False,5,05-07,0.9144,0.8936
507792,CSIH30094,消费红利,2,20.6178,3.67,0.1828,0.0424,0.178,0.0418,1778169600000,low,0,,0.05,1453132800000,1778236324603,1778236324603,1.8168,False,5,05-08,0.9576,0.8172
507753,SZ399997,中证白酒,3,21.403,4.1452,0.234,0.04,0.1937,0.0416,1778169600000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236321222,1778236321222,1.8663,False,5,05-08,0.96,0.766
507757,SZ399396,国证食品,3,22.543,3.7004,0.2,0.0084,0.1641,0.0377,1778169600000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236321572,1778236321572,1.7293,False,5,05-08,0.9916,0.8
507769,SH000932,主要消费,3,23.3076,3.5712,0.1848,0.032,0.1532,0.037,1778169600000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236322538,1778236322538,1.4163,False,5,05-08,0.968,0.8152
507786,SZ399989,中证医疗,3,29.5993,3.2493,0.1628,0.0368,0.1098,0.0145,1778169600000,low,0,,0.05,1453219200000,1778236324143,1778236324143,1.3449,False,5,05-08,0.9632,0.8372
507784,SZ399393,国证地产,3,0.0,0.9314,0.0,0.3164,0.0,0.0112,1778169600000,mid,1,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1453219200000,1778236323959,1778236323959,,True,5,05-08,0.6836,1.0
