id,index_code,name,ttype,pe,pb,pe_percentile,pb_percentile,roe,yeild,ts,eva_type,eva_type_int,url,bond_yeild,begin_at,created_at,updated_at,peg,pb_flag,source,pb_over_history,pe_over_history,date
508087,SZ399812,养老产业,3,11.9416,1.7712,0.0068,0.0288,0.1483,0.0249,1778601600000,low,0,https://danjuanfunds.com/funding/000968?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668321709,1778668321709,1.1568,False,5,0.9712,0.9932,05-13
508085,SZ399975,证券公司,3,15.0639,1.2888,0.062,0.176,0.0856,0.0171,1778601600000,low,0,https://danjuanfunds.com/funding/006098?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668321525,1778668321525,1.0878,True,5,0.824,0.938,05-13
508064,CSIH11136,中国互联,3,17.296,2.305,0.0936,0.0544,0.1333,0.0112,1778515200000,low,0,https://danjuanfunds.com/funding/164906?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778635921154,1778635921154,,False,5,0.9456,0.9064,05-12
508106,CSIH30533,中概互联50,3,17.4182,2.3587,0.0676,0.0792,0.1354,0.0104,1778601600000,low,0,https://danjuanfunds.com/funding/006327?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668323369,1778668323369,,False,5,0.9208,0.9324,05-13
508121,CSIH30094,消费红利,2,20.154,3.5904,0.154,0.036,0.1781,0.043,1778601600000,low,0,,0.05,1453392000000,1778668324492,1778668324492,1.8552,False,5,0.964,0.846,05-13
508082,SZ399997,中证白酒,3,20.8189,4.0321,0.214,0.0352,0.1937,0.0428,1778601600000,low,0,https://danjuanfunds.com/funding/161725?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668321266,1778668321266,1.8887,False,5,0.9648,0.786,05-13
508086,SZ399396,国证食品,3,22.1323,3.6349,0.1864,0.0052,0.1642,0.0385,1778601600000,low,0,https://danjuanfunds.com/funding/160222?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668321630,1778668321630,1.7538,False,5,0.9948,0.8136,05-13
508098,SH000932,主要消费,3,22.8457,3.5004,0.174,0.018,0.1532,0.0378,1778601600000,low,0,https://danjuanfunds.com/funding/000248?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668322635,1778668322635,1.408,False,5,0.982,0.826,05-13
508115,SZ399989,中证医疗,3,29.6905,3.2596,0.1712,0.0408,0.1098,0.0145,1778601600000,low,0,,0.05,1453651200000,1778668324046,1778668324046,1.3849,False,5,0.9592,0.8288,05-13
508113,SZ399393,国证地产,3,0.0,0.9363,0.0,0.3264,0.0,0.0111,1778601600000,mid,1,https://danjuanfunds.com/funding/160218?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668323899,1778668323899,,True,5,0.6736,1.0,05-13
508124,GDAXI,德国DAX,1,17.2489,1.5394,0.4752,0.1528,0.0892,0.0011,1778601600000,mid,1,https://danjuanfunds.com/funding/000614?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778668324710,1778668324710,,False,5,0.8472,0.5248,05-13
508088,SH000989,全指可选,3,23.4133,2.3077,0.3872,0.2852,0.0986,0.0259,1778601600000,mid,1,https://danjuanfunds.com/funding/001133?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668321801,1778668321801,0.7924,False,5,0.7148,0.6128,05-13
508089,SH000991,全指医药,3,32.9907,2.9838,0.3888,0.052,0.0904,0.0167,1778601600000,mid,1,https://danjuanfunds.com/funding/001180?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668321875,1778668321875,1.0908,False,5,0.948,0.6112,05-13
508104,SH000978,医药100,3,33.5019,3.0437,0.4452,0.0592,0.0909,0.0164,1778601600000,mid,1,https://danjuanfunds.com/funding/001550?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668323159,1778668323159,1.1003,False,5,0.9408,0.5548,05-13
508080,SZ399986,中证银行,3,6.7679,0.6436,0.7776,0.2952,0.0951,0.0503,1778601600000,high,2,https://danjuanfunds.com/funding/240019?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668321062,1778668321062,2.1413,True,5,0.7048,0.2224,05-13
508070,SPACEVCP,标普价值,2,7.7111,0.8494,0.7764,0.7692,0.1102,0.0403,1778601600000,high,2,https://danjuanfunds.com/funding/501310?channel=1800100001&source=guzhi__web_20171001,0.05,1453737600000,1778668320156,1778668320156,1.7891,False,5,0.2308,0.2236,05-13
508108,CSI931157,红利成长LV,2,8.2654,0.8888,0.7078,0.6446,0.1075,0.0449,1778601600000,high,2,https://danjuanfunds.com/funding/007751?channel=1800100001&source=guzhi__web_20171001,0.05,1556121600000,1778668323538,1778668323538,1.0425,False,5,0.3554,0.2922,05-13
508096,CSIH30269,红利低波,2,8.3089,0.8365,0.7536,0.5328,0.1007,0.0487,1778601600000,high,2,https://danjuanfunds.com/funding/005279?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668322466,1778668322466,1.8918,False,5,0.4672,0.2464,05-13
508079,SH000922,中证红利,2,8.5183,0.8193,0.7848,0.42,0.0962,0.0507,1778601600000,high,2,https://danjuanfunds.com/funding/090010?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668320968,1778668320968,1.4409,False,5,0.58,0.2152,05-13
508118,SH000015,上证红利,2,8.6384,0.8182,0.9344,0.5644,0.0947,0.0501,1778601600000,high,2,,0.05,1453305600000,1778668324300,1778668324300,1.5252,False,5,0.4356,0.0656,05-13
508114,CSI930740,300红利LV,2,9.0376,0.8997,0.7936,0.4804,0.0996,0.0479,1778601600000,high,2,https://danjuanfunds.com/funding/007605?channel=1800100001&source=guzhi__web_20171001,0.05,1452700800000,1778668323971,1778668323971,1.9529,False,5,0.5196,0.2064,05-13
508099,SH000919,300价值,2,9.119,0.8951,0.746,0.3204,0.0982,0.0433,1778601600000,high,2,https://danjuanfunds.com/funding/310398?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668322707,1778668322707,1.4488,False,5,0.6796,0.254,05-13
508110,CSPSADRP,标普红利,2,9.4997,0.9726,0.9796,0.644,0.1024,0.0457,1778601600000,high,2,https://danjuanfunds.com/funding/501029?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778668323664,1778668323664,1.8395,False,5,0.356,0.0204,05-13
508092,SZ399550,央视50,2,10.0601,0.9942,0.7756,0.1424,0.0988,0.0441,1778601600000,high,2,https://danjuanfunds.com/funding/165312?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778668322129,1778668322129,1.3546,False,5,0.8576,0.2244,05-13
508063,HSFML25,香港大盘,1,10.1691,1.0216,0.7576,0.5084,0.1005,0.0266,1778515200000,high,2,https://danjuanfunds.com/funding/501301?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778635920788,1778635920788,1.1573,False,5,0.4916,0.2424,05-12
508091,SH000925,基本面50,2,10.1952,0.9822,0.8264,0.3524,0.0963,0.0417,1778601600000,high,2,https://danjuanfunds.com/funding/160716?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668322041,1778668322041,1.171,False,5,0.6476,0.1736,05-13
508075,SH000170,50AH优选,1,10.5211,1.2079,0.7876,0.7748,0.1148,0.0306,1778601600000,high,2,https://danjuanfunds.com/funding/501050?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668320637,1778668320637,1.8783,False,5,0.2252,0.2124,05-13
508062,HKHSCEI,国企指数,1,10.5294,1.0224,0.8584,0.6744,0.0971,0.0261,1778515200000,high,2,https://danjuanfunds.com/funding/160717?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778635920688,1778635920688,1.829,False,5,0.3256,0.1416,05-12
508072,SH000016,上证50,1,11.573,1.2213,0.8124,0.4484,0.1055,0.0352,1778601600000,high,2,https://danjuanfunds.com/funding/110003?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668320367,1778668320367,1.5907,False,5,0.5516,0.1876,05-13
508102,SH000010,上证180,1,12.3355,1.2312,0.858,0.42,0.0998,0.0307,1778601600000,high,2,https://danjuanfunds.com/funding/040180?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668323011,1778668323011,1.2742,False,5,0.58,0.142,05-13
508061,HKHSI,恒生指数,1,12.5777,1.2502,0.8516,0.8692,0.0994,0.0289,1778515200000,high,2,https://danjuanfunds.com/funding/000071?channel=1800100001&source=guzhi__web_20171001,0.05,1453392000000,1778635920591,1778635920591,1.7284,False,5,0.1308,0.1484,05-12
508073,SH000300,沪深300,1,14.8989,1.4835,0.9408,0.596,0.0996,0.0263,1778601600000,high,2,https://danjuanfunds.com/funding/100038?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668320465,1778668320465,0.9998,False,5,0.404,0.0592,05-13
508116,CSI716567,MSCI中国,1,15.6171,1.5417,0.895,0.6875,0.0987,0.0247,1778601600000,high,2,,0.05,1508688000000,1778668324147,1778668324147,0.909,False,5,0.3125,0.105,05-13
508071,SPCQVCP,标普质量,2,15.6419,2.777,0.4136,0.3848,0.1775,0.0208,1778601600000,high,2,https://danjuanfunds.com/funding/501069?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668320260,1778668320260,1.8252,False,5,0.6152,0.5864,05-13
508094,SZ399324,深证红利,2,16.772,2.3503,0.7308,0.646,0.1401,0.0422,1778601600000,high,2,https://danjuanfunds.com/funding/481012?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668322298,1778668322298,0.7571,False,5,0.354,0.2692,05-13
508093,SH000903,中证100,1,18.7566,1.8942,0.9996,0.9796,0.101,0.027,1778601600000,high,2,https://danjuanfunds.com/funding/240014?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668322222,1778668322222,0.9415,False,5,0.0204,0.0004,05-13
508107,CSI931142,东证竞争,2,20.9684,3.0919,0.952,0.9196,0.1475,0.0223,1778601600000,high,2,https://danjuanfunds.com/funding/007658?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668323445,1778668323445,0.701,False,5,0.0804,0.048,05-13
508083,SZ399998,中证煤炭,3,21.3714,1.7072,0.87,0.9272,0.0799,0.0483,1778601600000,high,2,https://danjuanfunds.com/funding/161724?channel=1800100001&source=guzhi__web_20171001,0.05,1450195200000,1778668321358,1778668321358,0.8775,True,5,0.0728,0.13,05-13
508095,CSI930782,500低波,2,22.3417,1.8069,0.6934,0.756,0.0809,0.0212,1778601600000,high,2,https://danjuanfunds.com/funding/003318?channel=1800100001&source=guzhi__web_20171001,0.05,1454515200000,1778668322377,1778668322377,0.8784,False,5,0.244,0.3066,05-13
508065,SPHCMSHP,香港中小,1,22.8415,1.5448,0.9908,0.7961,0.0676,0.0215,1778515200000,high,2,https://danjuanfunds.com/funding/501021?channel=1800100001&source=guzhi__web_20171001,0.05,1467907200000,1778635921290,1778635921290,,False,5,0.2039,0.0092,05-12
508122,HKHSTECH,恒生科技,3,22.9429,2.617,0.3226,0.386,0.1141,0.0113,1778601600000,high,2,,0.05,1595779200000,1778668324582,1778668324582,,False,5,0.614,0.6774,05-13
508097,SZ399317,国证A指,1,24.1437,1.9456,0.9996,0.7756,0.0806,0.0173,1778601600000,high,2,https://danjuanfunds.com/funding/005414?channel=1800100001&source=guzhi__web_20171001,0.05,1453651200000,1778668322545,1778668322545,1.0138,False,5,0.2244,0.0004,05-13
508069,HKHSSCNE,新经济,2,24.9966,2.9295,0.5746,0.5304,0.1172,0.011,1778515200000,high,2,,0.05,1542729600000,1778635921960,1778635921960,,False,5,0.4696,0.4254,05-12
